2018-10-26 15:16:58.9437 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 15:16:58.9437 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 15:16:58.9587 | TRACE | Transliteration.ViewModels.TranslitViewModels | Now another user can Sign In.
2018-10-26 15:17:01.1184 | TRACE | Transliteration.ViewModels.SignInViewModel | User close app.
2018-10-26 15:17:08.6780 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 15:17:08
2018-10-26 15:17:08.8446 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:17:08.8446 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:17:09.4470 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-26 15:17:10.8162 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 15:17:10.8162 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 15:17:10.8311 | TRACE | Transliteration.ViewModels.TranslitViewModels | Now another user can Sign In.
2018-10-26 15:17:11.8546 | TRACE | Transliteration.ViewModels.SignInViewModel | User close app.
2018-10-26 15:18:53.5675 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 15:18:53
2018-10-26 15:18:53.7750 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:18:53.7750 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:18:54.2996 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-26 15:18:55.4717 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 15:18:55.4717 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 15:18:55.4887 | TRACE | Transliteration.ViewModels.TranslitViewModels | Now another user can Sign In.
2018-10-26 15:18:56.4135 | TRACE | Transliteration.ViewModels.SignInViewModel | User close app.
2018-10-26 15:19:00.4128 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 15:19:00
2018-10-26 15:19:00.5684 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:19:00.5684 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:19:01.1418 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-26 15:19:04.5502 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 15:19:04.5502 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 15:19:04.5652 | TRACE | Transliteration.ViewModels.TranslitViewModels | Now another user can Sign In.
2018-10-26 15:19:05.5581 | TRACE | Transliteration.ViewModels.SignInViewModel | User close app.
2018-10-26 15:20:02.0540 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 15:20:02
2018-10-26 15:20:02.2246 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:20:02.2246 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:20:02.7851 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-26 15:20:04.7671 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 15:20:04.7671 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 15:20:56.6843 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 15:20:56
2018-10-26 15:20:56.8518 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:20:56.8518 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:20:57.4103 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-26 15:20:58.9663 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 15:20:58.9663 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 15:31:53.3699 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 15:31:53
2018-10-26 15:31:53.6013 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:31:53.6013 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:31:54.1249 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-26 15:31:55.3081 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 15:31:55.3151 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 15:31:55.4886 | TRACE | Transliteration.ViewModels.TranslitViewModels | Now another user can Sign In.
2018-10-26 15:32:09.0196 | TRACE | Transliteration.ViewModels.SignInViewModel | User close app.
2018-10-26 15:32:40.2627 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 15:32:40
2018-10-26 15:32:40.4442 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:32:40.4442 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:32:40.9817 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 15:32:48.4311 | TRACE | Transliteration.ViewModels.SignInViewModel | User go to Translit page.
2018-10-26 15:32:50.3799 | TRACE | Transliteration.ViewModels.TranslitViewModels | User ask DB for own translits.
2018-10-26 15:32:50.3799 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-26 15:32:50.3938 | TRACE | Transliteration.ViewModels.TranslitViewModels | DB answer successful for asking about current user translits.
2018-10-26 15:32:51.3167 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 15:32:51.3167 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 15:38:38.7774 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 15:38:38
2018-10-26 15:38:38.9948 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:38:38.9948 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:38:39.5687 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-26 15:38:40.7644 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 15:38:40.7644 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 15:39:08.2757 | TRACE | Transliteration.ViewModels.TranslitViewModels | Now another user can Sign In.
2018-10-26 15:39:29.1685 | TRACE | Transliteration.ViewModels.SignInViewModel | User go to Translit page.
2018-10-26 15:39:43.3705 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 15:39:43.3755 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 15:51:24.5379 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 26.10.2018 15:51:24
2018-10-26 15:51:24.7313 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:51:24.7313 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 15:51:25.2630 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-26 15:51:31.8410 | TRACE | Transliteration.ViewModels.SignInViewModel | User go to Translit page.
