2018-10-27 20:53:24.1632 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 20:53:24.3766 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 20:53:24.7975 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 20:53:25.2137 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 20:53:25.8866 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 20:53:26.5698 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 20:53:26.9923 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 20:53:28.6490 | TRACE | Transliteration.Tools.TranslitDictionary | Entered text start to translit.
2018-10-27 21:05:44.0301 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 27.10.2018 21:05:44
2018-10-27 21:05:44.3513 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 21:05:44.3513 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 21:05:44.9756 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-27 21:05:50.7872 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:05:51.0352 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:05:51.2466 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:05:51.4783 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:05:51.6389 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:05:51.7881 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:05:51.9285 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:05:52.0930 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:05:52.3186 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:05:52.5579 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:05:52.6335 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:05:54.2642 | TRACE | Transliteration.Tools.TranslitDictionary | Entered text start to translit.
2018-10-27 21:05:54.2642 | TRACE | Transliteration.ViewModels.TranslitViewModels | Entered text finish to translit.
2018-10-27 21:05:54.2642 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of TranslitText property.
2018-10-27 21:05:54.4251 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-27 21:05:54.4251 | TRACE | Transliteration.ViewModels.TranslitViewModels | User enter text was translited and write to translits history.
2018-10-27 21:07:00.2881 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 27.10.2018 21:07:00
2018-10-27 21:07:00.4915 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 21:07:00.4915 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 21:07:01.1009 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-27 21:07:04.8823 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:07:05.3462 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:07:05.5933 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:07:05.8016 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:07:05.9435 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:07:06.1330 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:07:06.2775 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:07:06.4334 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:07:06.9278 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:07:07.8721 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:07:08.2208 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:07:09.8520 | TRACE | Transliteration.Tools.TranslitDictionary | Entered text start to translit.
2018-10-27 21:07:09.8779 | TRACE | Transliteration.ViewModels.TranslitViewModels | Entered text finish to translit.
2018-10-27 21:07:09.8779 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of TranslitText property.
2018-10-27 21:07:10.1114 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-27 21:07:10.1114 | TRACE | Transliteration.ViewModels.TranslitViewModels | User enter text was translited and write to translits history.
2018-10-27 21:08:12.9662 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 27.10.2018 21:08:12
2018-10-27 21:08:13.1355 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 21:08:13.1355 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 21:08:13.7029 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-27 21:08:16.4655 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:16.6913 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:16.8952 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:17.1286 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:17.2823 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:17.4457 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:17.5904 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:17.8132 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:17.9784 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:18.2504 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:18.4232 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:19.9662 | TRACE | Transliteration.Tools.TranslitDictionary | Entered text start to translit.
2018-10-27 21:08:49.6783 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 27.10.2018 21:08:49
2018-10-27 21:08:49.8837 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 21:08:49.8837 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 21:08:50.5475 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-27 21:08:53.1611 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:53.3826 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:53.5560 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:53.8025 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:53.9486 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:54.1204 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:54.2570 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:54.4516 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:54.6352 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:54.9679 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:55.0816 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 21:08:56.4884 | TRACE | Transliteration.Tools.TranslitDictionary | Entered text start to translit.
2018-10-27 21:08:56.4884 | TRACE | Transliteration.ViewModels.TranslitViewModels | Entered text finish to translit.
2018-10-27 21:08:56.4994 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of TranslitText property.
2018-10-27 21:08:56.6429 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-27 21:08:56.6429 | TRACE | Transliteration.ViewModels.TranslitViewModels | User enter text was translited and write to translits history.
